541165, 136.469391, 46.541157
541166, 136.425430, 46.365379
541166, 136.293610, 46.211571
541166, 136.205719, 45.991844
541166, 136.029938, 45.838036
541172, 134.360016, 44.739399
541172, 132.052887, 44.212055
541176, 131.899063, 44.124165
541181, 131.657379, 44.146137
541186, 131.569489, 44.080215
541191, 131.349762, 44.102188
541196, 131.261871, 44.036270
541201, 131.086090, 43.926414
541206, 130.976227, 43.816551
541211, 130.910309, 43.640770
541266, 130.778473, 43.596825
541267, 130.580719, 43.464989
541267, 130.492828, 43.421043
541267, 130.360992, 43.333153
541268, 130.207169, 43.311180
541268, 130.097321, 43.223289
541270, 129.416153, 42.761860
541275, 129.306305, 42.739887
541280, 129.152496, 42.739887
541285, 129.064606, 42.651997
541290, 129.020660, 42.695942
541295, 128.954742, 42.608051
541299, 128.888824, 42.542133
541304, 128.822906, 42.476215
541309, 128.735016, 42.454243
541314, 128.691071, 42.344379
541370, 128.581207, 42.278461
541370, 128.581207, 42.146626
541370, 128.559235, 42.102680
541371, 128.559235, 42.080708
541371, 128.515289, 41.948872
541371, 128.603180, 41.970844
541374, 128.625153, 41.509422
541378, 128.669098, 41.443504
541383, 128.778961, 41.245750
541388, 128.800934, 41.223778
541393, 128.888824, 41.135887
541398, 129.064606, 41.004051
541403, 129.130524, 40.960106
541408, 129.262360, 40.850243
541413, 129.284332, 40.828270
541418, 129.350250, 40.674461
541474, 129.460114, 40.652489
541474, 129.504044, 40.542622
541474, 129.548004, 40.454731
541474, 129.569977, 40.322895
541474, 129.591934, 40.322895
541475, 129.657867, 40.278950
541477, 129.965485, 40.213032
541482, 129.899567, 40.103168
541487, 130.119278, 40.081196
541492, 130.141266, 40.081196
541497, 130.273102, 39.993305
541507, 130.448883, 39.795551
541512, 130.448883, 39.619770
541517, 130.602676, 39.553852
541522, 130.734512, 39.465961
541577, 130.822418, 39.334126
541578, 130.866364, 39.356098
541578, 130.910309, 39.224258
541578, 130.888336, 39.158340
541579, 130.888336, 39.070457
541579, 130.866364, 39.070457
541586, 130.844391, 39.048485
541591, 130.866364, 39.048485
541596, 130.866364, 39.026512
541601, 130.910309, 38.982567
