timestamp,left_angle,right_angle
15950,118.07827758789062,102.9010238647461
15957,118.1441879272461,103.2306137084961
15962,118.12222290039062,103.2086410522461
15967,118.10025787353516,103.1866683959961
15974,118.07827758789062,103.1866683959961
15982,118.12222290039062,103.1646957397461
15987,118.03433227539062,103.1646957397461
15992,118.0562973022461,103.2306137084961
15997,118.1441879272461,103.1207504272461
16002,118.12222290039062,103.1646957397461
16052,118.12222290039062,103.2086410522461
16160,118.1441879272461,103.2086410522461
16165,118.1441879272461,103.1866683959961
16170,118.16616821289062,103.1646957397461
16175,118.10025787353516,103.1427230834961
16180,118.12222290039062,103.1427230834961
16185,118.1441879272461,103.1207504272461
16190,118.10025787353516,103.2306137084961
16195,118.1441879272461,103.1866683959961
16200,118.07827758789062,103.2086410522461
16206,118.16616821289062,103.1427230834961
16260,118.16616821289062,103.1646957397461
16266,118.18814849853516,102.9889144897461
16274,118.21011352539062,103.0548324584961
16279,118.21011352539062,103.0548324584961
16284,118.16616821289062,103.0548324584961
16289,118.18814849853516,102.9669418334961
16294,118.1441879272461,102.9889144897461
16299,118.18814849853516,103.0548324584961
16306,118.2320785522461,103.0328598022461
16361,118.16616821289062,102.9889144897461
16369,118.10025787353516,102.9889144897461
16375,118.12222290039062,103.0768051147461
16383,118.12222290039062,103.0768051147461
16388,118.07827758789062,103.0768051147461
16393,118.0562973022461,102.9889144897461
16398,118.03433227539062,103.0548324584961
16403,118.07827758789062,103.1427230834961
16410,118.1441879272461,103.1427230834961
16463,118.1441879272461,103.1646957397461
16469,118.18814849853516,103.0768051147461
16478,118.18814849853516,103.1646957397461
16484,118.18814849853516,103.1646957397461
16492,118.25405883789062,103.1207504272461
16497,118.34194946289062,103.2086410522461
16502,118.38589477539062,103.0987777709961
16507,118.4078598022461,103.1866683959961
16512,118.42984008789062,103.1866683959961
16564,118.47378540039062,103.2086410522461
16572,118.4957504272461,103.1866683959961
16578,118.4957504272461,103.1866683959961
16587,118.47378540039062,103.1427230834961
16593,118.42984008789062,103.1427230834961
16601,118.47378540039062,103.1207504272461
16608,118.4518051147461,103.1866683959961
16616,118.3639144897461,103.1427230834961
16666,118.3639144897461,103.1866683959961
16672,118.27603912353516,103.1207504272461
16681,118.2320785522461,102.9449691772461
16687,118.2320785522461,102.9889144897461
16695,118.25405883789062,102.9229965209961
16703,118.2320785522461,102.9669418334961
16710,118.21011352539062,103.0108871459961
16717,118.21011352539062,102.9669418334961
16768,118.21011352539062,102.9449691772461
16775,118.29800415039062,102.9010238647461
16781,118.27603912353516,102.9669418334961
16790,118.34194946289062,102.9669418334961
16796,118.3199691772461,102.9449691772461
16802,118.3639144897461,102.9449691772461
16809,118.3199691772461,102.9889144897461
16817,118.29800415039062,102.9449691772461
16867,118.29800415039062,102.9229965209961
16874,118.29800415039062,102.9010238647461
16880,118.21011352539062,102.8570785522461
16889,118.2320785522461,103.0108871459961
16895,118.27603912353516,102.8790512084961
16901,118.2320785522461,102.8790512084961
16908,118.2320785522461,102.9449691772461
16916,118.2320785522461,102.8790512084961
16968,118.21011352539062,102.9229965209961
16975,118.25405883789062,102.9010238647461
16983,118.2320785522461,102.9229965209961
16990,118.16616821289062,102.9010238647461
16997,118.25405883789062,102.8790512084961
17005,118.27603912353516,102.9449691772461
17012,118.2320785522461,102.9449691772461
17020,118.25405883789062,102.9229965209961
17070,118.25405883789062,102.8790512084961
17077,118.27603912353516,102.8351058959961
17084,118.27603912353516,102.8351058959961
17092,118.27603912353516,102.9449691772461
17098,118.27603912353516,102.9010238647461
17104,118.25405883789062,102.8570785522461
17111,118.2320785522461,102.8351058959961
17119,118.2320785522461,102.7472152709961
17174,118.2320785522461,102.6593246459961
17181,118.1441879272461,102.6373519897461
17188,118.21011352539062,102.6373519897461
17196,118.2320785522461,102.6153793334961
17203,118.18814849853516,102.6373519897461
17208,118.1441879272461,102.7252426147461
17215,118.1441879272461,102.6812973022461
17223,118.18814849853516,102.6373519897461
17273,118.18814849853516,102.6153793334961
17280,118.12222290039062,102.28578186035156
17287,118.1441879272461,102.19789123535156
17295,118.12222290039062,102.00013732910156
17302,118.1441879272461,101.86830139160156
17307,118.12222290039062,101.7145004272461
17314,118.1441879272461,101.4288558959961
17322,118.1441879272461,101.1871566772461
17374,118.10025787353516,101.0333480834961
17381,118.12222290039062,98.1549301147461
17389,118.12222290039062,97.49574279785156
17396,118.1441879272461,97.25404357910156
17403,118.16616821289062,96.5728988647461
17411,118.18814849853516,96.2652816772461
17418,118.16616821289062,95.4962387084961
17426,118.18814849853516,95.25453186035156
17476,118.18814849853516,94.81507873535156
17482,118.42984008789062,90.48646545410156
17491,118.4957504272461,90.00306701660156
17497,118.4957504272461,89.2340316772461
17505,118.4957504272461,88.7286605834961
17510,118.4957504272461,88.2892074584961
17515,118.42984008789062,87.84974670410156
17520,118.5396957397461,87.34437561035156
17525,118.47378540039062,86.8170394897461
17577,118.51773071289062,86.3556137084961
17585,118.51773071289062,81.0382308959961
17591,118.47378540039062,80.18128967285156
17599,118.47378540039062,79.7418441772461
17604,118.4518051147461,79.3243637084961
17609,118.4957504272461,78.9068832397461
17614,118.47378540039062,78.51136779785156
17619,118.42984008789062,78.09388732910156
17624,118.47378540039062,77.3687973022461
17629,118.47378540039062,76.6656723022461
17684,118.42984008789062,76.6656723022461
17689,118.47378540039062,62.361473083496094
17695,118.4518051147461,59.81264114379883
17704,118.38589477539062,58.406394958496094
17710,118.38589477539062,56.011375427246094
17718,118.34194946289062,54.73695755004883
17723,118.3199691772461,53.550437927246094
17728,118.29800415039062,52.18812942504883
17733,118.27603912353516,50.781883239746094
17783,118.25405883789062,50.781883239746094
17789,118.25405883789062,34.93959426879883
17798,118.2320785522461,33.687156677246094
17804,118.25405883789062,31.13832664489746
17813,118.21011352539062,29.951799392700195
17819,118.18814849853516,27.293109893798828
17827,118.18814849853516,26.018695831298828
17832,118.18814849853516,24.78822898864746
17885,118.18814849853516,23.579730987548828
17892,118.12222290039062,15.647601127624512
17898,118.12222290039062,15.823383331298828
17907,118.21011352539062,16.109027862548828
17913,118.1441879272461,16.526508331298828
17922,118.21011352539062,16.856098175048828
17928,118.21011352539062,17.844867706298828
17936,118.16616821289062,18.394184112548828
17986,118.1441879272461,18.394184112548828
17992,118.25405883789062,27.271137237548828
18001,118.27603912353516,28.193988800048828
18007,118.3199691772461,29.995744705200195
18016,118.42984008789062,30.76479148864746
18022,118.38589477539062,32.21498489379883
18030,118.47378540039062,33.00600051879883
18035,118.42984008789062,33.731101989746094
18087,118.4518051147461,34.34633255004883
18095,118.3639144897461,44.80531692504883
18100,118.34194946289062,46.45326232910156
18105,118.3639144897461,47.81557083129883
18110,118.27603912353516,48.98012161254883
18115,118.21011352539062,50.364402770996094
18120,118.21011352539062,51.81459426879883
18126,118.16616821289062,54.36342239379883
18134,118.16616821289062,55.681785583496094
18139,118.16616821289062,56.86830520629883
18194,118.12222290039062,56.86830520629883
18199,118.10025787353516,72.86439514160156
18204,118.07827758789062,74.2706527709961
18209,118.0562973022461,75.72084045410156
18214,118.12222290039062,77.0172348022461
18219,118.10025787353516,78.44544982910156
18224,118.07827758789062,79.6100082397461
18229,118.07827758789062,80.88441467285156
18234,118.10025787353516,82.2027816772461
18240,118.10025787353516,84.92738342285156
18294,118.07827758789062,86.2018051147461
18303,118.34194946289062,99.84681701660156
18308,118.47378540039062,100.9894027709961
18313,118.4078598022461,102.21986389160156
18318,118.47378540039062,103.2965316772461
18323,118.3639144897461,104.46107482910156
18328,118.51773071289062,105.6476058959961
18333,118.4518051147461,107.03187561035156
18338,118.4518051147461,108.2403793334961
18343,118.47378540039062,109.47084045410156
18395,118.27603912353516,110.6353988647461
18402,118.10025787353516,123.4674301147461
18407,118.1441879272461,124.63198852539062
18412,118.10025787353516,125.84048461914062
18417,118.10025787353516,127.00503540039062
18422,118.10025787353516,128.21353149414062
18427,118.03433227539062,129.37808227539062
18432,118.0562973022461,130.49868774414062
18437,118.0562973022461,131.77310180664062
18442,117.99038696289062,132.93765258789062
18447,118.03433227539062,134.10220336914062
18497,118.03433227539062,134.10220336914062
18503,118.07827758789062,148.09878540039062
18511,118.07827758789062,149.30728149414062
18516,118.07827758789062,150.55972290039062
18521,118.0562973022461,151.61441040039062
18526,118.07827758789062,152.40542602539062
18531,118.07827758789062,152.97671508789062
18536,118.01236724853516,153.30630493164062
18541,118.10025787353516,153.56997680664062
18546,118.12222290039062,153.67984008789062
18598,118.0562973022461,153.72378540039062
18606,118.56167602539062,153.17446899414062
18612,118.47378540039062,150.38394165039062
18620,118.5836410522461,149.98843383789062
18625,118.51773071289062,149.52700805664062
18630,118.56167602539062,148.93374633789062
18635,118.4957504272461,148.49429321289062
18640,118.5396957397461,147.85708618164062
18645,118.5396957397461,147.28578186035156
18650,118.5396957397461,146.67056274414062
18700,118.51773071289062,146.67056274414062
18706,118.4957504272461,137.66175842285156
